nom_de_la_commune;code_postal;latitude;longitude
L ABERGEMENT CLEMENCIAT;1400;46.1517018;4.9306005
L ABERGEMENT DE VAREY;1640;46.007131;5.4246442
AMBERIEU EN BUGEY;1500;45.9574707;5.37056825
AMBERIEUX EN DOMBES;1330;45.99922935;4.9118718
AMBLEON;1300;45.74831435;5.5927847
AMBRONAY;1500;46.00987325;5.3626546
AMBUTRIX;1500;45.934726749999996;5.3359178499999995
ANDERT ET CONDON;1300;45.784076;5.66066905
ANGLEFORT;1350;45.908577750000006;5.7947755
APREMONT;1100;46.2045065;5.66189915
ARANC;1110;45.99714985;5.5140125
ARANDAS;1230;45.8885403;5.4981960999999995
ARBENT;1100;46.28381295;5.68792005
ARBOYS EN BUGEY;1300;45.71887355;5.640431749999999
ARBIGNY;1190;46.48084735;4.961327150000001
ARGIS;1230;45.93220895;5.481942999999999
ARMIX;1510;45.85225065;5.583662
ARS SUR FORMANS;1480;45.990391349999996;4.81946885
ARTEMARE;1510;45.8700635;5.69203385
ASNIERES SUR SAONE;1570;46.385861750000004;4.8819912500000004
ATTIGNAT;1340;46.28581725;5.18228795
BAGE DOMMARTIN;1380;46.32767035;4.970408750000001
BAGE LE CHATEL;1380;46.308102399999996;4.930520250000001
BALAN;1360;45.8268175;5.10758665
BANEINS;1990;46.111682900000005;4.9045303
BEAUPONT;1270;46.427437100000006;5.26344095
BEAUREGARD;1480;46.00117795;4.756667950000001
BELLIGNAT;1100;46.24023325;5.6370845
BELIGNEUX;1360;45.86221995;5.1415238
VALSERHONE;1200;46.1233458;5.7944230999999995
BELLEY;1300;45.74300325;5.692717350000001
BELLEYDOUX;1130;46.2518808;5.7816279999999995
VALROMEY SUR SERAN;1260;45.9236225;5.66256355
BENONCES;1470;45.84204475;5.48343805
BENY;1370;46.31889475;5.27889165
BEREZIAT;1340;46.3698586;5.04310075
BETTANT;1500;45.9366368;5.3647705
BEY;1290;46.2181741;4.8440206
BEYNOST;1700;45.8359445;4.99637935
BILLIAT;1200;46.077833150000004;5.76320825
BIRIEUX;1330;45.950909;5.0400491
BIZIAT;1290;46.2240275;4.93929445
BLYES;1150;45.844153000000006;5.251480300000001
LA BOISSE;1120;45.8482725;5.02623935
BOISSEY;1190;46.372336649999994;4.9975179999999995
BOISSEY;1380;46.372336649999994;4.9975179999999995
BOLOZON;1450;46.197084149999995;5.470157
BOULIGNEUX;1330;46.02023855;4.9956875499999995
BOURG EN BRESSE;1000;46.20270155;5.2469113499999995
BOURG ST CHRISTOPHE;1800;45.88420815;5.13932565
BOYEUX ST JEROME;1640;46.03564045;5.461589200000001
BOZ;1190;46.40887505;4.9165927499999995
BREGNIER CORDON;1300;45.6405763;5.61736685
BRENOD;1110;46.0790966;5.611630549999999
BRENS;1300;45.7162752;5.68999675
BRESSOLLES;1360;45.87135875;5.0984473
BRION;1460;46.16890875;5.54767625
BRIORD;1470;45.768019249999995;5.48315975
BUELLAS;1310;46.2116415;5.14677425
LA BURBANCHE;1510;45.8628655;5.5480281
CEIGNES;1430;46.12579065;5.4957033
CERDON;1450;46.07500025;5.47546165
CERTINES;1240;46.13366015;5.26384595
CESSY;1170;46.315603949999996;6.0820202
CEYZERIAT;1250;46.182176;5.31908775
CEYZERIEU;1350;45.8367559;5.71966775
CHALAMONT;1320;46.01487445;5.173466400000001
CHALEINS;1480;46.036131350000005;4.7999051
CHALEY;1230;45.9506798;5.5405342
CHALLES LA MONTAGNE;1450;46.1237488;5.455973999999999
CHALLEX;1630;46.17647465;5.9735283
CHAMPAGNE EN VALROMEY;1260;45.93166085;5.69210895
CHAMPDOR CORCELLES;1110;46.037086;5.58824845
CHAMPFROMIER;1410;46.22637885;5.821597
CHANAY;1420;46.00240934999999;5.7674053
CHANEINS;1990;46.0947289;4.85165915
CHANOZ CHATENAY;1400;46.186846349999996;5.0301896
LA CHAPELLE DU CHATELARD;1240;46.0682567;5.017402150000001
CHARIX;1130;46.1893444;5.67728945
CHARNOZ SUR AIN;1800;45.8741704;5.2256679
CHATEAU GAILLARD;1500;45.972340599999995;5.309075099999999
CHATENAY;1320;46.027635149999995;5.2085424499999995
